fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3801,eﾍﾞﾙｾﾙｸ無双2HM4,0395,-0.7,-7.1,-2.7,0,3,3,1/95,1/301,1/129
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3649,eﾏｷﾞｱﾚｺｰﾄﾞ魔法少女まどか☆外伝,0383,-0.4,-0.1,0.0,0,0,0,1/45,1/5,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3649,eﾏｷﾞｱﾚｺｰﾄﾞ魔法少女まどか☆外伝,0384,-0.8,0.2,0.0,0,1,0,1/89,1/39,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3764,eﾗｸﾞﾅﾄﾞｰﾙCMB,0362,-1.9,-1.9,0.0,0,1,0,1/185,1/188,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3763,eﾘｺﾘｽ･ﾘｺｲﾙM3,0363,-9.3,-5.8,0.0,6,2,0,1/592,1/613,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3763,eﾘｺﾘｽ･ﾘｺｲﾙM3,0364,-3.0,-6.0,0.0,19,2,0,1/325,1/305,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3770,eﾘﾝｸﾞ 最恐領域RHA,0229,2.6,-0.9,0.0,6,0,0,1/124,1/97,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3770,eﾘﾝｸﾞ 最恐領域RHA,0230,-0.2,16.3,0.0,0,17,0,1/21,1/85,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3695,eﾙﾊﾟﾝ三世VSｷｬｯﾂｱｲMAH4,0377,-0.8,1.3,-0.9,0,7,0,1/86,1/111,1/81
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2371,P Re:ｾﾞﾛ鬼がかりver.M08,0147,-0.1,-0.1,0.0,0,0,0,1/8,1/6,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2371,P Re:ｾﾞﾛ鬼がかりver.M08,0148,1.1,0.0,0.0,1,0,0,1/49,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3749,P/Re:ｾﾞﾛseason2/M04,0336,-2.7,-4.8,-1.3,0,24,0,1/258,1/306,1/120
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3692,P/Re:ｾﾞﾛから始める異世界生活L07,0310,-3.4,-1.8,0.0,2,2,0,1/205,1/310,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2831,P009 RE:CYBORG N3-K,0087,-1.9,-0.5,0.0,1,0,0,1/193,1/43,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2320,P009RE:CYBORGM4-K,0352,-3.1,-4.8,0.0,1,2,0,1/386,1/256,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3641,PACYBORG009N2-K,0258,1.3,0.0,0.0,10,0,0,1/36,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3548,PAひぐらしのなく頃に･輪廻転生99,0315,0.4,-1.1,0.0,5,3,0,1/40,1/86,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3409,PAわんわんｾﾚﾌﾞﾚｰｼｮﾝAGBD,0081,1.4,-0.1,0.0,10,0,0,1/54,1/4,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3409,PAわんわんｾﾚﾌﾞﾚｰｼｮﾝAGBD,0082,0.5,0.6,0.0,9,8,0,1/104,1/143,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3409,PAわんわんｾﾚﾌﾞﾚｰｼｮﾝAGBD,0083,2.4,-2.3,-2.0,37,11,3,1/97,1/72,1/240
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3409,PAわんわんｾﾚﾌﾞﾚｰｼｮﾝAGBD,0084,-2.0,3.3,-1.0,4,25,0,1/168,1/94,1/112
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3729,PA乗物娘2N,0132,0.0,0.1,0.0,0,3,0,,1/34,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3538,PA大海物語5HLD,0215,-2.3,-0.8,0.0,1,4,0,1/295,1/61,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3538,PA大海物語5HLD,0216,-1.3,-0.9,0.0,3,3,0,1/200,1/207,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3824,PA大海物語ｱｸﾞﾈｽﾌﾟﾚﾐｱRBA,0207,3.8,-1.5,0.0,49,36,0,1/62,1/86,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3824,PA大海物語ｱｸﾞﾈｽﾌﾟﾚﾐｱRBA,0208,-2.6,-1.0,0.0,15,10,0,1/97,1/86,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3824,PA大海物語ｱｸﾞﾈｽﾌﾟﾚﾐｱRBA,0209,-4.9,2.6,0.0,29,24,0,1/88,1/74,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3824,PA大海物語ｱｸﾞﾈｽﾌﾟﾚﾐｱRBA,0210,1.7,-4.8,0.3,54,11,5,1/91,1/146,1/145
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2530,PA新海物語AR BB,0218,2.2,0.6,0.0,11,4,0,1/31,1/21,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2530,PA新海物語AR BB,0219,0.2,-0.5,0.0,18,8,0,1/89,1/123,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3601,PA海物語3R3LBA,0194,0.0,1.3,0.0,39,40,0,1/131,1/98,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3601,PA海物語3R3LBA,0195,0.1,0.0,0.0,3,0,0,1/40,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2275,PA海物語INｼﾞｬﾊﾟﾝ2RA,0217,0.8,0.0,0.0,3,9,0,1/80,1/76,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3712,PA海物語極ｼﾞｬﾊﾟﾝHBD,0192,-2.2,-0.6,0.0,0,0,0,1/248,1/68,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3712,PA海物語極ｼﾞｬﾊﾟﾝHBD,0193,0.0,0.0,0.0,0,0,0,,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3727,PA清流物語4HBB,0196,2.2,-0.9,0.0,6,1,0,1/36,1/142,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2476,PA激ﾃﾞｼﾞｼﾞｭｰｼｰﾊﾆｰ3NCY,0290,-0.8,1.8,0.0,4,11,0,1/84,1/63,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3784,PA花の慶次~傾奇一転N,0272,-0.3,-0.7,0.0,0,0,0,1/34,1/59,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3784,PA花の慶次~傾奇一転N,0273,0.1,0.0,0.0,13,0,0,1/37,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3784,PA花の慶次~傾奇一転N,0274,0.2,1.9,0.0,2,14,0,1/28,1/34,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2183,PA花の慶次~蓮N-V,0282,3.7,-0.2,0.0,22,0,0,1/61,1/26,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2183,PA花の慶次~蓮N-V,0283,1.8,-0.6,-0.7,6,0,0,1/31,1/58,1/83
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2183,PA花の慶次~蓮N-V,0284,-0.3,-0.5,0.0,0,0,0,1/30,1/55,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3081,PA豊丸ととある企業の最新作2V1,0316,-0.6,-2.1,0.0,0,0,0,1/73,1/193,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3081,PA豊丸ととある企業の最新作2V1,0345,0.6,0.5,0.0,4,4,0,1/19,1/69,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2338,PA野生の王国5N-K,0324,0.9,-0.3,0.0,4,6,0,1/11,1/55,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3707,PA野生の王国6N2,0285,-0.3,-1.4,0.0,4,14,0,1/129,1/128,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2425,PA野生の王国どらむN-K1 YT299,0296,2.0,3.8,0.0,14,21,0,1/22,1/66,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3666,PAｱｽﾞｰﾙﾚｰﾝ~異次元ﾄﾘｶﾞｰ79Ver.~M2,0311,1.7,-1.8,0.4,14,0,5,1/59,1/184,1/88
2026-09-10,2026-09-10,9/10 11:01,パチンコ,2395,PAｷﾞﾝﾊﾟﾗ夢幻ｶｰﾆﾊﾞﾙHBA,0092,-1.9,0.1,0.0,6,15,0,1/221,1/56,
